time,.data
1969/12/31/19:30:45.214000,VERTEX_SE2 1845.214 0.44155381357202 -0.00010738822267688046 -0.0004371171990742616
1969/12/31/19:30:45.234000,VERTEX_SE2 1845.23 0.4479526100213619 -0.00011017272745365913 -0.00043907372018967927
1969/12/31/19:30:45.237000,VERTEX_SE2 1845.237 0.4507447407804162 -0.0001113973235520017 -0.0004395590913736982
1969/12/31/19:30:45.244000,VERTEX_SE2 1845.241 0.4523458609102187 -0.00011210487088670976 -0.00043721049856996856
1969/12/31/19:30:45.256000,VERTEX_SE2 1845.254 0.45754443268393724 -0.0001143726211083068 -0.0004381953997140822
1969/12/31/19:30:45.266000,VERTEX_SE2 1845.264 0.4615335552334197 -0.00011609771633189068 -0.0004439410326819919
1969/12/31/19:30:45.279000,VERTEX_SE2 1845.276 0.46634643953171817 -0.00011828084016971692 -0.00043428219618157297
1969/12/31/19:30:45.299000,VERTEX_SE2 1845.285 0.4699403418635039 -0.00011981184683785575 -0.0004425632286743312
1969/12/31/19:30:45.306000,VERTEX_SE2 1845.299 0.475539562425639 -0.0001222495396077197 -0.0004497636083952123
1969/12/31/19:30:45.310000,VERTEX_SE2 1845.308 0.47913566326641177 -0.00012385048776266633 -0.00045433724018330843
1969/12/31/19:30:45.321000,VERTEX_SE2 1845.317 0.4827285440431813 -0.00012552907391139928 -0.000441476671450791
1969/12/31/19:30:45.327000,VERTEX_SE2 1845.324 0.48552503072663666 -0.00012676903991374835 -0.0004395520106428222
1969/12/31/19:30:45.343000,VERTEX_SE2 1845.34 0.4919205744374034 -0.00012946393715874553 -0.00045773295302694537
1969/12/31/19:30:45.350000,VERTEX_SE2 1845.347 0.4947253323435012 -0.00013074231728100682 -0.00045967611009446995
1969/12/31/19:30:45.358000,VERTEX_SE2 1845.353 0.49712510009516353 -0.00013185613410545137 -0.0004552169955644021
1969/12/31/19:30:45.369000,VERTEX_SE2 1845.363 0.5011244668523278 -0.00013367905592108338 -0.0004546314103513582
1969/12/31/19:30:45.384000,VERTEX_SE2 1845.382 0.508747477192367 -0.00013707183119565742 -0.0004641925795236315
1969/12/31/19:30:45.390000,VERTEX_SE2 1845.386 0.5103494747447286 -0.00013782138786502536 -0.00046049642003802413
1969/12/31/19:30:45.397000,VERTEX_SE2 1845.393 0.5131420735874104 -0.00013912782197864187 -0.00045317268691181465
1969/12/31/19:30:45.412000,VERTEX_SE2 1845.41 0.5199319481313621 -0.00014210709996881083 -0.00046756292214745636
1969/12/31/19:30:45.415000,VERTEX_SE2 1845.415 0.5219330634248753 -0.00014303318551360625 -0.0004723411753234222
1969/12/31/19:30:45.428000,VERTEX_SE2 1845.423 0.5251303170207098 -0.00014453633421276392 -0.00047454492070714635
1969/12/31/19:30:45.435000,VERTEX_SE2 1845.434 0.5295209363955335 -0.00014660886509170745 -0.0004770537690334328
1969/12/31/19:30:45.456000,VERTEX_SE2 1845.454 0.5375284769795329 -0.00015044036845252538 -0.00047562066332446676
1969/12/31/19:30:45.461000,VERTEX_SE2 1845.457 0.5387284563127782 -0.00015100994969754355 -0.0004765821500596679
1969/12/31/19:30:45.469000,VERTEX_SE2 1845.464 0.5415230329940649 -0.0001523454134346406 -0.00047528740220437985
1969/12/31/19:30:45.479000,VERTEX_SE2 1845.472 0.5447214584317324 -0.0001538645471059791 -0.0004756118619514541
1969/12/31/19:30:45.486000,VERTEX_SE2 1845.482 0.5487190205604773 -0.0001557568060210242 -0.00047787053694177195
1969/12/31/19:30:45.496000,VERTEX_SE2 1845.493 0.5531201580626459 -0.00015785942732356889 -0.000477996140547329
1969/12/31/19:30:45.518000,VERTEX_SE2 1845.504 0.5575252703976633 -0.00015998713939967507 -0.000472982598520044
1969/12/31/19:30:45.524000,VERTEX_SE2 1845.518 0.563141991722927 -0.00016265102278418622 -0.0004716879398095888
1969/12/31/19:30:45.534000,VERTEX_SE2 1845.53 0.5679422850418555 -0.00016491265522252256 -0.00047223128058507117
1969/12/31/19:30:45.538000,VERTEX_SE2 1845.537 0.5707443142916175 -0.0001662361749336769 -0.0004721193074951872
1969/12/31/19:30:45.546000,VERTEX_SE2 1845.543 0.5731451340198107 -0.00016737288105504378 -0.00047077281367261274
1969/12/31/19:30:45.555000,VERTEX_SE2 1845.555 0.5779340405783262 -0.0001696383228631703 -0.0004684853135859636
1969/12/31/19:30:45.570000,VERTEX_SE2 1845.57 0.5839358744558985 -0.0001724239054741703 -0.0004728487491246348
1969/12/31/19:30:45.586000,VERTEX_SE2 1845.582 0.588728194152685 -0.00017467905569268076 -0.0004751216196071889
1969/12/31/19:30:45.589000,VERTEX_SE2 1845.586 0.59032723905337 -0.00017543276533312895 -0.00047889338261693297
1969/12/31/19:30:45.601000,VERTEX_SE2 1845.598 0.5951186345393538 -0.00017772510549375153 -0.0004793583006190059
1969/12/31/19:30:45.606000,VERTEX_SE2 1845.603 0.5971255512987242 -0.00017869194669164646 -0.0004769621295672466
1969/12/31/19:30:45.618000,VERTEX_SE2 1845.615 0.6019365026874552 -0.00018094049372781085 -0.0004865433419829738
1969/12/31/19:30:45.629000,VERTEX_SE2 1845.627 0.6067449036219617 -0.00018333245502383968 -0.0004756320974405849
1969/12/31/19:30:45.635000,VERTEX_SE2 1845.633 0.6091450104013855 -0.00018447286694817422 -0.0004761137356230684
1969/12/31/19:30:45.649000,VERTEX_SE2 1845.644 0.6135459804781789 -0.00018654140235660588 -0.0004822094479438785
1969/12/31/19:30:45.657000,VERTEX_SE2 1845.654 0.6175435431587567 -0.00018843854818371373 -0.0004898433016390923
1969/12/31/19:30:45.672000,VERTEX_SE2 1845.67 0.6239430214503814 -0.00019155077114639803 -0.0004933621600187011
1969/12/31/19:30:45.675000,VERTEX_SE2 1845.675 0.625942610192851 -0.0001925336950746297 -0.0004951613160127187
1969/12/31/19:30:45.687000,VERTEX_SE2 1845.685 0.6299406103662591 -0.00019457032802632185 -0.0004809097537898134
1969/12/31/19:30:45.701000,VERTEX_SE2 1845.699 0.6355368286506389 -0.00019730663231513933 -0.0004728635856150024
1969/12/31/19:30:45.707000,VERTEX_SE2 1845.702 0.6367371041495978 -0.00019787307220417246 -0.00047380231108479855
1969/12/31/19:30:45.719000,VERTEX_SE2 1845.715 0.6419429439313359 -0.00020022541792498536 -0.0004957379379582451
1969/12/31/19:30:45.727000,VERTEX_SE2 1845.723 0.6451472278194976 -0.0002017920936036564 -0.0005025443053964468
1969/12/31/19:30:45.740000,VERTEX_SE2 1845.735 0.6499507404661565 -0.00020419820516962144 -0.0005041819739796303
1969/12/31/19:30:45.751000,VERTEX_SE2 1845.744 0.6535598402913316 -0.0002059972541792677 -0.0005098881651369228
1969/12/31/19:30:45.759000,VERTEX_SE2 1845.757 0.6587703778575524 -0.00020860088084104193 -0.0005200915257811659
1969/12/31/19:30:45.764000,VERTEX_SE2 1845.762 0.6607691733704695 -0.00020964007397523572 -0.0005202734190637986
1969/12/31/19:30:45.778000,VERTEX_SE2 1845.776 0.666385239405887 -0.00021255861467842592 -0.0005208698218579503
1969/12/31/19:30:45.785000,VERTEX_SE2 1845.783 0.6691840545251828 -0.00021400992266141448 -0.0005231959775397118
1969/12/31/19:30:45.795000,VERTEX_SE2 1845.792 0.6727795266856162 -0.00021586898508775873 -0.0005293354524229544
1969/12/31/19:30:45.810000,VERTEX_SE2 1845.807 0.678787361346178 -0.0002191183810895373 -0.0005178111993914011
1969/12/31/19:30:45.823000,VERTEX_SE2 1845.815 0.681994892932822 -0.00022079421024193683 -0.0005131555252240258
1969/12/31/19:30:45.828000,VERTEX_SE2 1845.826 0.6863955863119352 -0.00022307343970126808 -0.0005083860192812028
1969/12/31/19:30:45.845000,VERTEX_SE2 1845.843 0.6931883069010046 -0.00022652264949898863 -0.0005089917676026624
1969/12/31/19:30:45.845000,VERTEX_SE2 1845.845 0.693988008358578 -0.0002269295749618213 -0.0005091368601643497
1969/12/31/19:30:45.862000,VERTEX_SE2 1845.86 0.6999955225599747 -0.00023002487366523936 -0.000503035915514945
1969/12/31/19:30:45.867000,VERTEX_SE2 1845.863 0.7011967735407189 -0.00023062812975002838 -0.0005038819941461636
1969/12/31/19:30:45.877000,VERTEX_SE2 1845.874 0.7055892065498888 -0.0002327935600561426 -0.0005147729452497335
1969/12/31/19:30:45.886000,VERTEX_SE2 1845.883 0.7091906143364876 -0.00023463161381455724 -0.0005191750278431592
1969/12/31/19:30:45.894000,VERTEX_SE2 1845.892 0.7127856191322588 -0.00023647905829571978 -0.0005244580239682441
1969/12/31/19:30:45.904000,VERTEX_SE2 1845.901 0.7163869295366322 -0.0002383824263707056 -0.0005203951252609445
1969/12/31/19:30:45.921000,VERTEX_SE2 1845.921 0.7243900909807107 -0.00024260102579218458 -0.0005136736778723378
1969/12/31/19:30:45.923000,VERTEX_SE2 1845.922 0.724790040724278 -0.00024280678469944058 -0.0005128854954419678
1969/12/31/19:30:45.941000,VERTEX_SE2 1845.932 0.728793227451852 -0.00024482011664718966 -0.0005228387234156429
1969/12/31/19:30:45.948000,VERTEX_SE2 1845.943 0.7331934882861062 -0.0002471106857931884 -0.0005251244556831978
1969/12/31/19:30:45.961000,VERTEX_SE2 1845.954 0.7375838927563129 -0.0002494609199938339 -0.0005149374173796571
1969/12/31/19:30:45.970000,VERTEX_SE2 1845.965 0.7419694657950692 -0.00025173723425994156 -0.0005108288534082613
1969/12/31/19:30:45.978000,VERTEX_SE2 1845.973 0.7451775252043534 -0.00025337848454434124 -0.0005100555412026411
1969/12/31/19:30:45.985000,VERTEX_SE2 1845.983 0.7491720445924366 -0.00025541829971102454 -0.0005094576617551727
1969/12/31/19:30:45.997000,VERTEX_SE2 1845.994 0.7535692476448662 -0.0002576911001011939 -0.0005020412650076342
1969/12/31/19:30:46.015000,VERTEX_SE2 1846.012 0.7607534908441056 -0.00026119011485682523 -0.0005170424365873366
1969/12/31/19:30:46.022000,VERTEX_SE2 1846.019 0.7635579954870412 -0.0002626469271559517 -0.0005146305118620056
1969/12/31/19:30:46.025000,VERTEX_SE2 1846.023 0.7651569743549272 -0.0002634661767961029 -0.000516903052697761
1969/12/31/19:30:46.039000,VERTEX_SE2 1846.035 0.7699556736541422 -0.0002659762820941181 -0.0005107258053872733
1969/12/31/19:30:46.054000,VERTEX_SE2 1846.042 0.7727604963739844 -0.00026739091287685657 -0.0005170950777281556
1969/12/31/19:30:46.059000,VERTEX_SE2 1846.056 0.7783486506611229 -0.00027020757799820676 -0.0005301480803653673
1969/12/31/19:30:46.074000,VERTEX_SE2 1846.068 0.7831485254932735 -0.00027275485718371143 -0.0005295992081134494
1969/12/31/19:30:46.081000,VERTEX_SE2 1846.078 0.7871498281987468 -0.00027489879339788394 -0.0005233889144686204
1969/12/31/19:30:46.086000,VERTEX_SE2 1846.084 0.7895468462593599 -0.0002761619120269903 -0.0005198237216874994
1969/12/31/19:30:46.099000,VERTEX_SE2 1846.096 0.7943504725510598 -0.0002786012609470079 -0.0005318334374124522
1969/12/31/19:30:46.106000,VERTEX_SE2 1846.103 0.7971520136611705 -0.00028008502315280873 -0.0005340433537872503
1969/12/31/19:30:46.128000,VERTEX_SE2 1846.124 0.8055460449029586 -0.0002844922739405006 -0.0005430409630739919
1969/12/31/19:30:46.133000,VERTEX_SE2 1846.128 0.8071453451933012 -0.0002853608155982162 -0.0005430059462500762
1969/12/31/19:30:46.135000,VERTEX_SE2 1846.132 0.808748331785636 -0.00028622768476465466 -0.0005452281541462752
1969/12/31/19:30:46.148000,VERTEX_SE2 1846.146 0.8143461405671893 -0.000289261438037064 -0.0005485026450327114
1969/12/31/19:30:46.164000,VERTEX_SE2 1846.153 0.8171476383791507 -0.0002908101145452771 -0.0005442023059449679
1969/12/31/19:30:46.169000,VERTEX_SE2 1846.164 0.8215437184603276 -0.00029317245001907915 -0.0005510314970263846
1969/12/31/19:30:46.178000,VERTEX_SE2 1846.176 0.826350362229297 -0.00029580723794506793 -0.0005539076098108702
1969/12/31/19:30:46.186000,VERTEX_SE2 1846.183 0.8291627123477108 -0.00029737142342837087 -0.0005516307987089497
1969/12/31/19:30:46.197000,VERTEX_SE2 1846.195 0.833954172694075 -0.00029995591493337307 -0.0005638662841887996
1969/12/31/19:30:46.204000,VERTEX_SE2 1846.203 0.8371557064645688 -0.00030172293978528576 -0.0005758019004052799
1969/12/31/19:30:46.224000,VERTEX_SE2 1846.219 0.8435648428805379 -0.00030542742895835954 -0.0005736025663064848
1969/12/31/19:30:46.241000,VERTEX_SE2 1846.236 0.8503604228576713 -0.00030935290985324785 -0.0005695531188810073
1969/12/31/19:30:46.244000,VERTEX_SE2 1846.242 0.8527601602790743 -0.0003107157892770094 -0.0005711777364696786
1969/12/31/19:30:46.250000,VERTEX_SE2 1846.245 0.8539615690631317 -0.0003114018731045503 -0.0005712894360798385
1969/12/31/19:30:46.262000,VERTEX_SE2 1846.254 0.8575659752331379 -0.00031345509419838854 -0.0005729369464412769
1969/12/31/19:30:46.266000,VERTEX_SE2 1846.266 0.8623668230975311 -0.00031624171873302956 -0.0005654297087715507
1969/12/31/19:30:46.285000,VERTEX_SE2 1846.282 0.8687595654771544 -0.0003200202414821331 -0.0005397950378600487
1969/12/31/19:30:46.288000,VERTEX_SE2 1846.286 0.870357185253244 -0.0003208791183549144 -0.0005419923300651159
1969/12/31/19:30:46.297000,VERTEX_SE2 1846.292 0.8727620308799472 -0.00032218828945396465 -0.0005395958830773202
1969/12/31/19:30:46.308000,VERTEX_SE2 1846.306 0.8783534326535778 -0.00032517246329735706 -0.000545484177098026
1969/12/31/19:30:46.329000,VERTEX_SE2 1846.327 0.8867298937845356 -0.00032964590112172216 -0.0005569197471362675
1969/12/31/19:30:46.332000,VERTEX_SE2 1846.331 0.8883311706313847 -0.00033052476900274 -0.0005649851256498141
1969/12/31/19:30:46.332000,VERTEX_SE2 1846.333 0.8891302816869581 -0.000330976139412002 -0.0005651296598556527
1969/12/31/19:30:46.348000,VERTEX_SE2 1846.345 0.8939288246715399 -0.00033369363115705005 -0.0005639433643750194
1969/12/31/19:30:46.360000,VERTEX_SE2 1846.354 0.8975248181428652 -0.0003357221961893084 -0.0005637686809139146
1969/12/31/19:30:46.363000,VERTEX_SE2 1846.361 0.9003236351064642 -0.0003372967421336734 -0.0005649618884283889
1969/12/31/19:30:46.393000,VERTEX_SE2 1846.38 0.9079423517896357 -0.0003416226532952146 -0.0005621233353192933
1969/12/31/19:30:46.406000,VERTEX_SE2 1846.397 0.91474173875221 -0.00034546933551889744 -0.0005585071658178159
1969/12/31/19:30:46.416000,VERTEX_SE2 1846.41 0.9199411771906066 -0.00034830522818771865 -0.0005715915093042873
1969/12/31/19:30:46.417000,VERTEX_SE2 1846.412 0.9207428263011266 -0.0003487640958119679 -0.0005707784988354814
1969/12/31/19:30:46.422000,VERTEX_SE2 1846.42 0.9239556624157329 -0.0003505839493908058 -0.0005751249360000032
1969/12/31/19:30:46.430000,VERTEX_SE2 1846.428 0.9271524822581176 -0.00035243160238200577 -0.0005722839944831597
1969/12/31/19:30:46.438000,VERTEX_SE2 1846.435 0.9299567008477276 -0.0003540362611920006 -0.0005723377638358088
1969/12/31/19:30:46.452000,VERTEX_SE2 1846.448 0.9351528860642956 -0.0003570370403219291 -0.0005671790237418208
1969/12/31/19:30:46.459000,VERTEX_SE2 1846.456 0.9383583656185641 -0.0003588455026661877 -0.0005701797016962827
1969/12/31/19:30:46.467000,VERTEX_SE2 1846.464 0.9415573993303529 -0.00036065136686275683 -0.0005758564417347217
1969/12/31/19:30:46.480000,VERTEX_SE2 1846.48 0.947956901243978 -0.0003642580504302554 -0.0005881247739082777
1969/12/31/19:30:46.492000,VERTEX_SE2 1846.487 0.9507620068450747 -0.0003658832115988186 -0.0005968913282557056
1969/12/31/19:30:46.492000,VERTEX_SE2 1846.492 0.9527626925627518 -0.0003670748285240746 -0.00059817847249543
1969/12/31/19:30:46.508000,VERTEX_SE2 1846.506 0.9583477169110158 -0.000370380669899483 -0.0006044452928315576
1969/12/31/19:30:46.516000,VERTEX_SE2 1846.512 0.9607469534583267 -0.00037182491248222876 -0.0006069314291465515
1969/12/31/19:30:46.528000,VERTEX_SE2 1846.524 0.9655530414024039 -0.0003747028006307181 -0.0006150623706597523
1969/12/31/19:30:46.538000,VERTEX_SE2 1846.536 0.9703510474145131 -0.0003776607362277191 -0.0006136321369330813
1969/12/31/19:30:46.548000,VERTEX_SE2 1846.544 0.973554389423677 -0.00037958803393333264 -0.0006256121656776206
1969/12/31/19:30:46.556000,VERTEX_SE2 1846.554 0.9775655047201007 -0.0003820677745170957 -0.0006330071811124457
1969/12/31/19:30:46.569000,VERTEX_SE2 1846.562 0.9807629317781327 -0.0003840849238830342 -0.0006351480244711976
1969/12/31/19:30:46.577000,VERTEX_SE2 1846.575 0.9859704495030129 -0.0003873639298660702 -0.000640628379447038
1969/12/31/19:30:46.588000,VERTEX_SE2 1846.583 0.9891734352501157 -0.0003893987436052206 -0.0006459703024219568
1969/12/31/19:30:46.591000,VERTEX_SE2 1846.591 0.992365205195782 -0.0003914556959787223 -0.0006474856084778289
1969/12/31/19:30:46.612000,VERTEX_SE2 1846.608 0.9991689840993772 -0.000395884924924249 -0.0006439758829521792
1969/12/31/19:30:46.617000,VERTEX_SE2 1846.617 1.0027734134885482 -0.00039818331473371617 -0.0006502948028191544
1969/12/31/19:30:46.629000,VERTEX_SE2 1846.625 1.0059778818745706 -0.0004002732586716484 -0.0006483929259263457
1969/12/31/19:30:46.636000,VERTEX_SE2 1846.635 1.0099693281584332 -0.00040284429726108106 -0.0006526488521285602
1969/12/31/19:30:46.647000,VERTEX_SE2 1846.644 1.0135660546690535 -0.0004051731013286558 -0.0006578190218317223
1969/12/31/19:30:46.661000,VERTEX_SE2 1846.659 1.0195643669416632 -0.00040906598525149537 -0.0006666415927685027
1969/12/31/19:30:46.666000,VERTEX_SE2 1846.665 1.0219637869082647 -0.00041066172398262585 -0.0006682314154924386
1969/12/31/19:30:46.681000,VERTEX_SE2 1846.678 1.0271688097578646 -0.0004141065711513912 -0.0006746316027014571
1969/12/31/19:30:46.688000,VERTEX_SE2 1846.686 1.030369896519869 -0.00041629009925272744 -0.0006671424367324693
1969/12/31/19:30:46.697000,VERTEX_SE2 1846.693 1.0331643012196345 -0.0004181726713060191 -0.0006605915574467197
1969/12/31/19:30:46.708000,VERTEX_SE2 1846.705 1.037963096768639 -0.0004213528917104173 -0.0006584710017493442
1969/12/31/19:30:46.717000,VERTEX_SE2 1846.714 1.0415597492735016 -0.00042373291925609146 -0.0006552080175052697
1969/12/31/19:30:46.727000,VERTEX_SE2 1846.725 1.0459596263361088 -0.00042653298842182326 -0.0006740189839388246
1969/12/31/19:30:46.736000,VERTEX_SE2 1846.733 1.0491558640326069 -0.00042871004224539 -0.0006669079351271896
1969/12/31/19:30:46.750000,VERTEX_SE2 1846.749 1.0555473666369435 -0.0004329796594710063 -0.000665801343025172
1969/12/31/19:30:46.756000,VERTEX_SE2 1846.753 1.0571445539369764 -0.0004340449825620419 -0.000664603309690165
1969/12/31/19:30:46.785000,VERTEX_SE2 1846.785 1.0699485452779907 -0.00044237872814152857 -0.0006783357947511747
1969/12/31/19:30:46.791000,VERTEX_SE2 1846.785 1.0699485452779907 -0.00044237872814152857 -0.0006783357947511747
1969/12/31/19:30:46.794000,VERTEX_SE2 1846.786 1.0703482917541258 -0.0004426498972103671 -0.000678319075012915
1969/12/31/19:30:46.803000,VERTEX_SE2 1846.801 1.0763340108379216 -0.000446695078736942 -0.0006808328116669009
1969/12/31/19:30:46.820000,VERTEX_SE2 1846.818 1.0831472746313744 -0.00045135525023342254 -0.0006776805449595684
1969/12/31/19:30:46.822000,VERTEX_SE2 1846.82 1.0839475373393752 -0.00045189743392305427 -0.0006778540647208247
1969/12/31/19:30:46.830000,VERTEX_SE2 1846.828 1.0871545241840423 -0.00045407872789044715 -0.0006755389436395201
1969/12/31/19:30:46.838000,VERTEX_SE2 1846.828 1.0871545241840423 -0.00045407872789044715 -0.0006755389436395201
1969/12/31/19:30:46.847000,VERTEX_SE2 1846.846 1.094357248078337 -0.00045891414610580946 -0.0006797461022617838
1969/12/31/19:30:46.860000,VERTEX_SE2 1846.856 1.0983593084922167 -0.00046161847460425543 -0.000683758255717273
1969/12/31/19:30:46.868000,VERTEX_SE2 1846.867 1.102747292988147 -0.0004646139343314455 -0.0006848661363791936
1969/12/31/19:30:46.875000,VERTEX_SE2 1846.872 1.1047527461820001 -0.0004659917836559905 -0.0006826810306907996
1969/12/31/19:30:46.884000,VERTEX_SE2 1846.884 1.1095535453330663 -0.0004692949897242086 -0.0006773087929544895
1969/12/31/19:30:46.897000,VERTEX_SE2 1846.894 1.1135439227509778 -0.0004719998556999726 -0.0006767705358157995
1969/12/31/19:30:46.906000,VERTEX_SE2 1846.904 1.1175501286246974 -0.0004747205902557704 -0.000674411185830588
1969/12/31/19:30:46.925000,VERTEX_SE2 1846.923 1.1251520365020475 -0.0004799046418230213 -0.0006668816210906355
1969/12/31/19:30:46.928000,VERTEX_SE2 1846.926 1.1263511816258969 -0.0004807049920096279 -0.0006663293746323655
1969/12/31/19:30:46.935000,VERTEX_SE2 1846.933 1.1291419663360884 -0.00048256487532021225 -0.0006662214463643485
1969/12/31/19:30:46.954000,VERTEX_SE2 1846.951 1.1363449593214408 -0.0004872845850680569 -0.000677200123232168
1969/12/31/19:30:46.958000,VERTEX_SE2 1846.956 1.138346275708236 -0.0004886385864264897 -0.000677844974754796
