time,.data
1969/12/31/19:30:45.097000,EDGE_SE2 1845.095 1845.095 0.0016051327914138633 0 -3.4319285816310634e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.105000,EDGE_SE2 1845.103 1845.103 0.0031966043161701144 0 -5.432825770701243e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.120000,EDGE_SE2 1845.114 1845.114 0.0043983807918751665 0 -3.4506629370355936e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.135000,EDGE_SE2 1845.127 1845.127 0.005205573957814373 0 -1.7324162377852472e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.144000,EDGE_SE2 1845.14 1845.14 0.005193391021367329 0 2.7264580630312234e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.147000,EDGE_SE2 1845.145 1845.145 0.0020000610341172867 0 -3.592660773789175e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.156000,EDGE_SE2 1845.155 1845.155 0.003999245798860778 0 1.7381900791225613e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.170000,EDGE_SE2 1845.163 1845.163 0.0031949402789914565 0 -3.8929995855728e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.184000,EDGE_SE2 1845.175 1845.175 0.004799535447374482 0 -2.313071354332878e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.189000,EDGE_SE2 1845.186 1845.186 0.004401671859206185 0 -5.493776849213143e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.196000,EDGE_SE2 1845.194 1845.194 0.0031939948513843765 0 -2.5736117929127862e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.212000,EDGE_SE2 1845.21 1845.21 0.006392942255612619 0 8.158682447348624e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.214000,EDGE_SE2 1845.214 1845.214 0.001599852696021723 0 -5.727799702843295e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.234000,EDGE_SE2 1845.23 1845.23 0.006398797055195403 0 -1.956521115417723e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.237000,EDGE_SE2 1845.237 1845.237 0.0027921310276011416 0 -4.853711840189524e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.241000,EDGE_SE2 1845.241 1845.241 0.001601120286137809 0 2.3485928037296576e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.256000,EDGE_SE2 1845.254 1845.254 0.005198572268343884 0 -9.849011441136411e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.266000,EDGE_SE2 1845.264 1845.264 0.0039891229224909685 0 -5.74563296790969e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.278000,EDGE_SE2 1845.276 1845.276 0.004812884793430807 0 9.658836500418927e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.288000,EDGE_SE2 1845.285 1845.285 0.003593902657891062 0 -8.281032492758209e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.304000,EDGE_SE2 1845.299 1845.299 0.005599221092775503 0 -7.200379720881131e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.309000,EDGE_SE2 1845.308 1845.308 0.0035961011971358437 0 -4.573631788096115e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.320000,EDGE_SE2 1845.317 1845.317 0.0035928811688853957 0 1.2860568732517397e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.327000,EDGE_SE2 1845.324 1845.324 0.0027964869583566735 0 1.9246608079688373e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.342000,EDGE_SE2 1845.34 1845.34 0.006395544278542583 0 -1.8180942384123183e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.350000,EDGE_SE2 1845.347 1845.347 0.0028047581974340883 0 -1.9431570675245744e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.356000,EDGE_SE2 1845.353 1845.353 0.0023997680101431533 0 4.459114530067856e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.368000,EDGE_SE2 1845.363 1845.363 0.00399936717261054 0 5.855852130439344e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.384000,EDGE_SE2 1845.382 1845.382 0.007623011095050831 0 -9.561169172273279e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.389000,EDGE_SE2 1845.386 1845.386 0.0016019977277161067 0 3.6961594856073537e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.396000,EDGE_SE2 1845.393 1845.393 0.0027925991482699282 0 7.323733126209464e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.412000,EDGE_SE2 1845.41 1845.41 0.0067898751975792 0 -1.4390235235641683e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.415000,EDGE_SE2 1845.415 1845.415 0.0020011155078022763 0 -4.778253175965847e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.428000,EDGE_SE2 1845.423 1845.423 0.0031972539491777006 0 -2.203745383724139e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.435000,EDGE_SE2 1845.434 1845.434 0.004390619863978409 0 -2.508848326286448e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.456000,EDGE_SE2 1845.454 1845.454 0.008007541500661368 0 1.4331057089660689e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.460000,EDGE_SE2 1845.457 1845.457 0.0011999794684238278 0 -9.614867352011213e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.469000,EDGE_SE2 1845.464 1845.464 0.0027945770003803038 0 1.2947478552880347e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.475000,EDGE_SE2 1845.472 1845.472 0.0031984257984335254 0 -3.2445974707421366e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.485000,EDGE_SE2 1845.482 1845.482 0.003997562576598336 0 -2.258674990317837e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.495000,EDGE_SE2 1845.493 1845.493 0.004401138004427025 0 -1.2560360555704856e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.518000,EDGE_SE2 1845.504 1845.504 0.004405112848870164 0 5.013542027285008e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.522000,EDGE_SE2 1845.518 1845.518 0.005616721956973381 0 1.2946587104552273e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.533000,EDGE_SE2 1845.53 1845.53 0.0048002938517065045 0 -5.433407754823858e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.537000,EDGE_SE2 1845.537 1845.537 0.002802029562339833 0 1.1197308988398681e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.545000,EDGE_SE2 1845.543 1845.543 0.002400819997288915 0 1.3464938225744679e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.555000,EDGE_SE2 1845.555 1845.555 0.004788907094360765 0 2.2875000866491235e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.570000,EDGE_SE2 1845.57 1845.57 0.006001834523997179 0 -4.363435538671236e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.585000,EDGE_SE2 1845.582 1845.582 0.004792320227396121 0 -2.2728704825540995e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.589000,EDGE_SE2 1845.586 1845.586 0.001599045078315554 0 -3.77176300974403e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.600000,EDGE_SE2 1845.598 1845.598 0.004791396034344121 0 -4.64918002072928e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.604000,EDGE_SE2 1845.603 1845.603 0.0020069169922605047 0 2.396171051759277e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.618000,EDGE_SE2 1845.615 1845.615 0.004810951914195005 0 -9.581212415727176e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.629000,EDGE_SE2 1845.627 1845.627 0.004808401529452528 0 1.091124454238897e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.637000,EDGE_SE2 1845.633 1845.633 0.0024001070503574845 0 -4.816381824834887e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.649000,EDGE_SE2 1845.644 1845.644 0.0044009705629178344 0 -6.095712320810095e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.655000,EDGE_SE2 1845.654 1845.654 0.003997563130747398 0 -7.633853695213826e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.672000,EDGE_SE2 1845.67 1845.67 0.006399479048399703 0 -3.518858379608841e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.675000,EDGE_SE2 1845.675 1845.675 0.001999588984054178 0 -1.799155994017698e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.687000,EDGE_SE2 1845.685 1845.685 0.003998000692151706 0 1.425156222290535e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.701000,EDGE_SE2 1845.699 1845.699 0.005596218953345842 0 8.046168174810999e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.707000,EDGE_SE2 1845.702 1845.702 0.0012002756326175094 0 -9.387254697961414e-07 0.03 0.0 0.0 0.03 0.0 0.01
